CUST_ID,Cluster,Cluster_Name
C10001,2,现金预付型客户
C10002,3,稳健消费型客户
C10003,1,高频购买型客户
C10004,2,现金预付型客户
C10005,2,现金预付型客户
C10006,2,现金预付型客户
C10007,1,高频购买型客户
C10008,2,现金预付型客户
C10009,2,现金预付型客户
C10010,2,现金预付型客户
C10011,2,现金预付型客户
C10012,2,现金预付型客户
C10013,1,高频购买型客户
C10014,1,高频购买型客户
C10015,0,低活跃型客户
C10016,3,稳健消费型客户
C10017,0,低活跃型客户
C10018,2,现金预付型客户
C10019,2,现金预付型客户
C10020,2,现金预付型客户
C10021,2,现金预付型客户
C10022,1,高频购买型客户
C10023,2,现金预付型客户
C10024,3,稳健消费型客户
C10025,3,稳健消费型客户
C10026,2,现金预付型客户
C10027,0,低活跃型客户
C10028,2,现金预付型客户
C10029,3,稳健消费型客户
C10030,2,现金预付型客户
C10031,3,稳健消费型客户
C10032,1,高频购买型客户
C10033,3,稳健消费型客户
C10034,2,现金预付型客户
C10035,2,现金预付型客户
C10036,0,低活跃型客户
C10037,3,稳健消费型客户
C10038,1,高频购买型客户
C10039,3,稳健消费型客户
C10040,3,稳健消费型客户
C10041,0,低活跃型客户
C10043,1,高频购买型客户
C10044,0,低活跃型客户
C10045,0,低活跃型客户
C10046,1,高频购买型客户
C10047,0,低活跃型客户
C10048,0,低活跃型客户
C10049,0,低活跃型客户
C10050,1,高频购买型客户
C10051,0,低活跃型客户
C10052,3,稳健消费型客户
C10053,1,高频购买型客户
C10054,0,低活跃型客户
C10055,1,高频购买型客户
C10056,2,现金预付型客户
C10057,2,现金预付型客户
C10058,0,低活跃型客户
C10059,1,高频购买型客户
C10060,0,低活跃型客户
C10061,3,稳健消费型客户
C10062,2,现金预付型客户
C10063,0,低活跃型客户
C10064,0,低活跃型客户
C10065,2,现金预付型客户
C10067,1,高频购买型客户
C10068,2,现金预付型客户
C10069,0,低活跃型客户
C10070,0,低活跃型客户
C10071,2,现金预付型客户
C10072,2,现金预付型客户
C10073,3,稳健消费型客户
C10074,1,高频购买型客户
C10075,0,低活跃型客户
C10077,2,现金预付型客户
C10078,2,现金预付型客户
C10079,2,现金预付型客户
C10080,1,高频购买型客户
C10081,2,现金预付型客户
C10082,0,低活跃型客户
C10083,3,稳健消费型客户
C10084,2,现金预付型客户
C10085,0,低活跃型客户
C10086,2,现金预付型客户
C10087,2,现金预付型客户
C10088,1,高频购买型客户
C10089,1,高频购买型客户
C10090,3,稳健消费型客户
C10092,3,稳健消费型客户
C10093,0,低活跃型客户
C10094,3,稳健消费型客户
C10095,1,高频购买型客户
C10096,3,稳健消费型客户
C10097,0,低活跃型客户
C10098,2,现金预付型客户
C10099,2,现金预付型客户
C10100,0,低活跃型客户
C10101,2,现金预付型客户
C10102,0,低活跃型客户
C10103,2,现金预付型客户
C10104,0,低活跃型客户
C10105,2,现金预付型客户
C10106,2,现金预付型客户
C10107,1,高频购买型客户
C10108,2,现金预付型客户
C10109,0,低活跃型客户
C10110,0,低活跃型客户
C10111,2,现金预付型客户
C10112,3,稳健消费型客户
C10113,2,现金预付型客户
C10114,1,高频购买型客户
C10115,1,高频购买型客户
C10116,0,低活跃型客户
C10117,1,高频购买型客户
C10118,3,稳健消费型客户
C10119,2,现金预付型客户
C10120,1,高频购买型客户
C10121,2,现金预付型客户
C10122,0,低活跃型客户
C10123,2,现金预付型客户
C10124,0,低活跃型客户
C10125,1,高频购买型客户
C10126,2,现金预付型客户
C10127,1,高频购买型客户
C10128,0,低活跃型客户
C10130,3,稳健消费型客户
C10131,1,高频购买型客户
C10132,0,低活跃型客户
C10133,1,高频购买型客户
C10134,3,稳健消费型客户
C10135,0,低活跃型客户
C10136,2,现金预付型客户
C10137,1,高频购买型客户
C10138,2,现金预付型客户
C10139,3,稳健消费型客户
C10140,2,现金预付型客户
C10141,2,现金预付型客户
C10142,1,高频购买型客户
C10143,2,现金预付型客户
C10144,1,高频购买型客户
C10145,0,低活跃型客户
C10146,2,现金预付型客户
C10147,0,低活跃型客户
C10148,3,稳健消费型客户
C10149,1,高频购买型客户
C10150,1,高频购买型客户
C10151,2,现金预付型客户
C10152,2,现金预付型客户
C10153,0,低活跃型客户
C10154,2,现金预付型客户
C10155,2,现金预付型客户
C10156,3,稳健消费型客户
C10157,1,高频购买型客户
C10158,2,现金预付型客户
C10159,1,高频购买型客户
C10160,1,高频购买型客户
C10161,2,现金预付型客户
C10162,3,稳健消费型客户
C10163,0,低活跃型客户
C10164,1,高频购买型客户
C10165,0,低活跃型客户
C10166,0,低活跃型客户
C10167,0,低活跃型客户
C10168,2,现金预付型客户
C10169,2,现金预付型客户
C10170,2,现金预付型客户
C10171,0,低活跃型客户
C10172,2,现金预付型客户
C10173,1,高频购买型客户
C10174,2,现金预付型客户
C10175,1,高频购买型客户
C10176,0,低活跃型客户
C10177,1,高频购买型客户
C10178,2,现金预付型客户
C10179,0,低活跃型客户
C10180,1,高频购买型客户
C10181,0,低活跃型客户
C10182,0,低活跃型客户
C10183,3,稳健消费型客户
C10184,1,高频购买型客户
C10185,2,现金预付型客户
C10186,1,高频购买型客户
C10187,2,现金预付型客户
C10188,3,稳健消费型客户
C10189,2,现金预付型客户
C10190,2,现金预付型客户
C10191,2,现金预付型客户
C10192,0,低活跃型客户
C10193,2,现金预付型客户
C10194,2,现金预付型客户
C10196,0,低活跃型客户
C10197,2,现金预付型客户
C10198,2,现金预付型客户
C10199,0,低活跃型客户
C10200,1,高频购买型客户
C10201,2,现金预付型客户
C10202,1,高频购买型客户
C10203,1,高频购买型客户
C10204,1,高频购买型客户
C10205,2,现金预付型客户
C10206,3,稳健消费型客户
C10207,2,现金预付型客户
C10208,0,低活跃型客户
C10209,2,现金预付型客户
C10211,1,高频购买型客户
C10212,1,高频购买型客户
C10213,2,现金预付型客户
C10214,3,稳健消费型客户
C10215,3,稳健消费型客户
C10216,3,稳健消费型客户
C10217,2,现金预付型客户
C10218,3,稳健消费型客户
C10219,1,高频购买型客户
C10220,0,低活跃型客户
C10221,2,现金预付型客户
C10222,2,现金预付型客户
C10223,2,现金预付型客户
C10224,2,现金预付型客户
C10226,2,现金预付型客户
C10227,3,稳健消费型客户
C10228,1,高频购买型客户
C10229,1,高频购买型客户
C10230,1,高频购买型客户
C10231,2,现金预付型客户
C10232,1,高频购买型客户
C10233,1,高频购买型客户
C10234,2,现金预付型客户
C10235,1,高频购买型客户
C10236,1,高频购买型客户
C10237,0,低活跃型客户
C10238,1,高频购买型客户
C10239,2,现金预付型客户
C10240,1,高频购买型客户
C10241,1,高频购买型客户
C10242,0,低活跃型客户
C10243,1,高频购买型客户
C10244,1,高频购买型客户
C10245,3,稳健消费型客户
C10246,0,低活跃型客户
C10247,2,现金预付型客户
C10248,2,现金预付型客户
C10249,3,稳健消费型客户
C10250,1,高频购买型客户
C10251,1,高频购买型客户
C10252,2,现金预付型客户
C10253,1,高频购买型客户
C10254,2,现金预付型客户
C10255,1,高频购买型客户
C10256,2,现金预付型客户
C10257,3,稳健消费型客户
C10258,1,高频购买型客户
C10259,3,稳健消费型客户
C10260,2,现金预付型客户
C10261,2,现金预付型客户
C10262,1,高频购买型客户
C10263,0,低活跃型客户
C10265,2,现金预付型客户
C10266,2,现金预付型客户
C10267,1,高频购买型客户
C10269,1,高频购买型客户
C10270,0,低活跃型客户
C10271,1,高频购买型客户
C10272,1,高频购买型客户
C10273,1,高频购买型客户
C10274,3,稳健消费型客户
C10275,2,现金预付型客户
C10276,1,高频购买型客户
C10277,1,高频购买型客户
C10278,2,现金预付型客户
C10279,2,现金预付型客户
C10280,1,高频购买型客户
C10281,1,高频购买型客户
C10282,3,稳健消费型客户
C10283,1,高频购买型客户
C10284,1,高频购买型客户
C10285,3,稳健消费型客户
C10286,2,现金预付型客户
C10287,0,低活跃型客户
C10288,2,现金预付型客户
C10289,2,现金预付型客户
C10290,1,高频购买型客户
C10291,1,高频购买型客户
C10292,2,现金预付型客户
C10293,2,现金预付型客户
C10294,1,高频购买型客户
C10295,0,低活跃型客户
C10296,3,稳健消费型客户
C10297,0,低活跃型客户
C10298,3,稳健消费型客户
C10299,2,现金预付型客户
C10300,3,稳健消费型客户
